feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
log_return,1284.0,0.0021012511338062275,0.03237240479572236,-0.1852006711734898,-0.07866884257025546,-0.048804540951976776,-0.0161061675260736,0.00283198914272545,0.020680696750059027,0.05103834780982144,0.07983229563538123,0.2180224055936533
overnight_return,1284.0,0.0017331641782630716,0.020098632575360008,-0.1422578540132375,-0.04640906652538153,-0.025978664309186193,-0.008336790274451625,0.00155930246612565,0.010754236839826325,0.02844783880117382,0.05025761043720246,0.2609692206941715
momentum_5d,1284.0,0.0020871218620587095,0.013828320163874754,-0.0503425764569327,-0.03357295022922586,-0.02177225300052608,-0.0064814878927079,0.00236037845865525,0.0107549080397547,0.023917062415702416,0.03483056055617903,0.0528151118858225
momentum_20d,1284.0,0.002063638795504306,0.007076343653621365,-0.0220858206166793,-0.016303246776684096,-0.00934308849536503,-0.0023164397236488748,0.00177584255720525,0.006702249111516675,0.014106747395388228,0.017618843065699163,0.0198852806168626
volatility_20d,1284.0,0.030564151212314327,0.010625889461309969,0.0124039299639094,0.015211012201332225,0.017035576158817456,0.0219164074661487,0.027943006280420048,0.03906331543345848,0.05198509965148465,0.05501197737076488,0.0560461541372044
volume_change,1284.0,0.09657681757456321,0.5643666270720902,-0.8876906056517311,-0.5988405103066732,-0.4531117871597787,-0.22968734200281746,-0.017670654371914,0.2688813118998577,0.9939099336434706,2.1180573764884056,7.713563422212202
volume_20d_avg,1284.0,1533229.7974299067,1317722.931183717,159764.85,218937.856,264448.76999999996,511166.44999999995,977956.375,2578410.1125,4342130.14,5100301.417500004,5357926.1
avg_sentiment,1284.0,0.23287673768786618,0.20076674125265037,-0.4728666666666666,-0.29892050000000003,-0.1130825,0.10758159090909085,0.24795082417582415,0.36981875,0.5285854999999999,0.6670056190476196,0.93
sentiment_std,1284.0,0.43125815243080157,0.12330967894694987,0.0,0.01619840214342142,0.23997966160309714,0.35343972907635307,0.43384128191588134,0.5095591755701413,0.6254323609598671,0.7068881715164524,0.8930245909268121
news_count,1284.0,9.428348909657322,3.4447434283795886,1.0,2.0,4.0,7.0,10.0,11.0,15.0,17.0,24.0
spy_return,1284.0,0.0004805077639214279,0.010577494652237967,-0.0602152661737053,-0.029652765601640534,-0.01660076697288209,-0.004637021370617625,0.0008117958289040499,0.00618876755345545,0.01593714362016905,0.025104480122874966,0.088442853280312
soxx_return,1284.0,0.0008321560118629742,0.022645512963795234,-0.1066981201375952,-0.06053443588131183,-0.037158915536443245,-0.011482722480944774,0.0010766628241658,0.014502952444322351,0.03517520208136604,0.05277715331648901,0.1717958839826228
ief_return,1284.0,-0.0001624726241347607,0.004800376361321386,-0.0179282682689296,-0.01221036312263749,-0.008059044972756349,-0.0029966463393733,-0.00010701513539724999,0.0027661830258109248,0.007338696461624839,0.012592209459928146,0.0222932471150285
trends_zscore_30d,1284.0,0.5552517574465536,0.8707967663547345,-1.571551976849982,-0.8150967408757892,-0.37425077996697076,0.005905421536550175,0.35836741589601956,0.8427313072788132,2.309155942294534,3.854089644026421,5.241913765877209
trends_momentum_7d,1284.0,0.20517243804608307,1.3593525856681596,-0.8,-0.6622928571428571,-0.4399090909090908,-0.1538461538461538,0.0,0.21751930501930503,1.4071428571428546,3.6236796536796763,34.99999999999999
trends_spike,1284.0,0.07009345794392523,0.2554039314260402,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
