trial,val_auc,val_acc,threshold,youden_j,best_epoch,seconds,lookback,lstm_units,dropout,recurrent_dropout,lr,batch
1,0.6090909090909091,0.5634920634920635,0.5,,1,10.867996454238892,90,96,0.1,0.2,0.0003,64
2,0.5606060606060607,0.5317460317460317,0.5,,5,7.865424633026123,45,96,0.3,0.3,0.0007,64
3,0.43939393939393945,0.49206349206349204,0.5,,1,16.292207717895508,45,32,0.3,0.3,0.0003,16
4,0.4851010101010101,0.46825396825396826,0.5,,1,9.111169815063477,90,96,0.3,0.2,0.0005,64
5,0.5396464646464647,0.46825396825396826,0.5,,2,10.063670873641968,20,96,0.05,0.2,0.0007,16
6,0.4861111111111111,0.47619047619047616,0.5,,3,20.92199444770813,45,128,0.2,0.1,0.0001,16
7,0.604040404040404,0.5,0.5,,4,40.92393469810486,90,32,0.05,0.2,0.0001,16
8,0.5131313131313131,0.4603174603174603,0.5,,8,17.0941219329834,20,64,0.1,0.1,0.0005,16
9,0.5126262626262627,0.4603174603174603,0.5,,9,23.468630075454712,60,96,0.05,0.3,0.0005,32
10,0.5356060606060606,0.46825396825396826,0.5,,1,28.735373497009277,90,64,0.05,0.3,0.0005,16
11,0.532070707070707,0.48412698412698413,0.5,,18,27.46210217475891,90,64,0.1,0.3,0.001,64
12,0.5282828282828284,0.5079365079365079,0.5,,1,6.807673215866089,60,128,0.05,0.3,0.0003,64
13,0.5358585858585858,0.49206349206349204,0.5,,4,22.912871837615967,45,96,0.2,0.1,0.0007,16
14,0.5853535353535354,0.49206349206349204,0.5,,2,4.931983709335327,30,96,0.05,0.1,0.0003,64
15,0.48005050505050506,0.47619047619047616,0.5,,1,5.253821134567261,45,32,0.1,0.2,0.0005,64
16,0.5664141414141415,0.5793650793650794,0.5,,35,47.21708846092224,20,128,0.2,0.3,0.0007,16
17,0.5487373737373737,0.49206349206349204,0.5,,37,61.35537672042847,60,96,0.3,0.1,0.0007,32
18,0.5633838383838384,0.5158730158730159,0.5,,40,81.98935174942017,90,96,0.1,0.1,0.0007,32
19,0.5111111111111111,0.46825396825396826,0.5,,6,10.358763456344604,60,128,0.2,0.1,0.0007,64
20,0.4805555555555556,0.47619047619047616,0.5,,1,16.891701221466064,45,128,0.1,0.3,0.0003,16
21,0.5171717171717172,0.49206349206349204,0.5,,1,6.75454568862915,60,96,0.05,0.1,0.0001,64
22,0.5154040404040404,0.46825396825396826,0.5,,7,11.790514707565308,30,128,0.2,0.3,0.0005,32
23,0.4618686868686869,0.47619047619047616,0.5,,37,46.932867765426636,45,64,0.2,0.2,0.0001,32
24,0.4608585858585859,0.47619047619047616,0.5,,7,20.49016237258911,60,64,0.2,0.3,0.0007,32
25,0.5502525252525252,0.46825396825396826,0.5,,20,16.35999894142151,20,128,0.05,0.2,0.001,32
26,0.53989898989899,0.5079365079365079,0.5,,1,7.073503255844116,60,128,0.1,0.1,0.0001,64
27,0.4944444444444444,0.4444444444444444,0.5,,7,20.3214111328125,60,64,0.3,0.1,0.0007,32
28,0.49368686868686873,0.48412698412698413,0.5,,1,5.278512477874756,20,128,0.1,0.2,0.0001,32
29,0.5042929292929293,0.5158730158730159,0.5,,1,5.301044225692749,45,32,0.1,0.3,0.0001,64
30,0.5358585858585858,0.46825396825396826,0.5,,16,25.328768491744995,20,128,0.2,0.1,0.0007,16
31,0.5391414141414141,0.4523809523809524,0.5,,11,46.809059381484985,60,32,0.3,0.2,0.001,16
32,0.4431818181818182,0.4365079365079365,0.5,,1,5.032506942749023,30,64,0.1,0.1,0.001,64
33,0.5133838383838384,0.48412698412698413,0.5,,11,25.98417830467224,60,128,0.3,0.3,0.0005,32
34,0.49823232323232325,0.5158730158730159,0.5,,21,31.422269105911255,20,128,0.2,0.3,0.001,16
35,0.4396464646464646,0.4523809523809524,0.5,,7,15.476856708526611,20,32,0.2,0.3,0.0007,16
36,0.5055555555555555,0.5079365079365079,0.5,,7,6.933272838592529,30,32,0.05,0.1,0.0001,64
37,0.576010101010101,0.46825396825396826,0.5,,4,8.938653469085693,60,64,0.05,0.2,0.0007,64
38,0.5502525252525252,0.4523809523809524,0.5,,6,35.245140075683594,60,96,0.3,0.2,0.0007,16
39,0.5265151515151515,0.5317460317460317,0.5,,9,7.1123106479644775,20,32,0.1,0.2,0.0005,64
40,0.4992424242424242,0.47619047619047616,0.5,,1,20.69635009765625,60,32,0.05,0.3,0.0007,16
41,0.4845959595959596,0.46825396825396826,0.5,,4,12.333862543106079,90,32,0.3,0.2,0.0001,64
42,0.47070707070707074,0.5238095238095238,0.5,,1,9.23723316192627,45,64,0.05,0.2,0.0005,32
43,0.397979797979798,0.4126984126984127,0.5,,17,49.93824553489685,45,32,0.2,0.1,0.0001,16
44,0.4717171717171717,0.4603174603174603,0.5,,1,5.329984426498413,20,32,0.2,0.2,0.0001,32
45,0.5005050505050506,0.47619047619047616,0.5,,16,18.492608547210693,60,128,0.1,0.1,0.0003,64
46,0.5007575757575757,0.47619047619047616,0.5,,10,26.405730724334717,30,64,0.05,0.2,0.0007,16
47,0.5391414141414141,0.5555555555555556,0.5,,2,34.05608892440796,90,64,0.3,0.1,0.0001,16
48,0.46111111111111114,0.42857142857142855,0.5,,1,4.354207992553711,30,64,0.3,0.1,0.0003,64
49,0.519949494949495,0.47619047619047616,0.5,,6,24.853758573532104,90,96,0.05,0.3,0.0005,32
50,0.5338383838383838,0.4523809523809524,0.5,,5,7.491484880447388,20,128,0.2,0.2,0.001,32
